2025-05-20 14:38:53,282 — INFO — 📩 Kafka'dan mesaj alındı. Video yolu: /app/data/uploaded_videos/2974b8a0-2b31-4f31-bc4c-9cfd811c552e_Real1.mp4
2025-05-20 14:38:53,285 — INFO — 🎬 Videoyu işleme başlatılıyor: /app/data/uploaded_videos/2974b8a0-2b31-4f31-bc4c-9cfd811c552e_Real1.mp4
2025-05-20 14:38:53,423 — INFO — 🔄 Frame 0 alındı, işleniyor. Frame ID: 77f485d8-9f72-410e-9cfc-e343acd27f35
2025-05-20 14:38:53,521 — INFO — Kafka'ya mesaj gönderildi. Video ID: 2974b8a0-2b31-4f31-bc4c-9cfd811c552e, Frame ID: d1397f59-d5aa-4525-b425-b05281931417
2025-05-20 14:38:53,521 — INFO — Kafka'ya mesaj gönderildi. Video ID: 2974b8a0-2b31-4f31-bc4c-9cfd811c552e, Frame ID: 20b043ad-f0aa-4172-8ab4-3cb4e4c9082b
2025-05-20 14:38:53,521 — INFO — Kafka'ya mesaj gönderildi. Video ID: 2974b8a0-2b31-4f31-bc4c-9cfd811c552e, Frame ID: 77f485d8-9f72-410e-9cfc-e343acd27f35
2025-05-20 14:38:53,521 — INFO — Kafka'ya mesaj gönderildi. Video ID: 2974b8a0-2b31-4f31-bc4c-9cfd811c552e, Frame ID: f8000718-c46d-4aa3-be0c-e8a232dbd276
2025-05-20 14:38:53,529 — INFO — Kafka'ya mesaj gönderildi. Video ID: 2974b8a0-2b31-4f31-bc4c-9cfd811c552e, Frame ID: 81636f26-e056-4289-97d0-9d29206856aa
2025-05-20 14:38:53,536 — INFO — Kafka'ya mesaj gönderildi. Video ID: 2974b8a0-2b31-4f31-bc4c-9cfd811c552e, Frame ID: 57d5c1f4-0bee-43af-9f26-31b65932772e
2025-05-20 14:38:53,539 — INFO — Kafka'ya mesaj gönderildi. Video ID: 2974b8a0-2b31-4f31-bc4c-9cfd811c552e, Frame ID: d509997b-20ed-4cbc-a8d4-1f0416c89d5c
2025-05-20 14:38:53,556 — INFO — Kafka'ya mesaj gönderildi. Video ID: 2974b8a0-2b31-4f31-bc4c-9cfd811c552e, Frame ID: 1d6e7909-116f-465b-a38e-fc53f06c2f3d
2025-05-20 14:38:53,576 — INFO — Kafka'ya mesaj gönderildi. Video ID: 2974b8a0-2b31-4f31-bc4c-9cfd811c552e, Frame ID: dc56943c-24da-414e-b129-873f1038f80d
